,oid,sgn,formula,pretty_formula,yp,ypl
131,2107167,140,S8Mo4,MoS2,0.111649506,-1.0
47,1522656,194,Mo2S4,MoS2,0.15601295,-1.0
203,1522143,14,Mo4S8,MoS2,0.12716517,-1.0
84,1538346,14,S4Mo4S4,MoS2,0.14432776,-1.0
91,2310963,62,S4Mo4S4,MoS2,0.21147902,-1.0
82,1527864,194,S6Mo4S2,MoS2,0.8174123,1.0
119,1510410,36,Mo4S8Mo4S8,MoS2,0.18387392,-1.0
291,1528007,166,S12Mo6,MoS2,0.5180279,1.0
57,1521989,7,Mo4S4Mo2S2Mo2S10,MoS2,0.36323395,-1.0
257,1528091,14,S4Mo4S4,MoS2,0.4401311,-1.0
42,1509320,61,Mo4S8,MoS2,0.43137482,-1.0
273,1501464,194,Mo4S8,MoS2,0.27902406,-1.0
53,4344305,21,S4Mo2,MoS2,0.023224553,-1.0
128,9014813,92,Mo4S8,MoS2,0.34936637,-1.0
28,1523635,190,S6Mo2S6Mo4,MoS2,0.19437256,-1.0
183,1528933,160,S3Mo3S3,MoS2,0.34398872,-1.0
151,1541145,12,Mo2S4,MoS2,0.3570482,-1.0
244,1010097,205,Mo4S8,MoS2,0.1799637,-1.0
265,2106328,107,Mo2S8Mo2,MoS2,0.098764464,-1.0
288,1509714,17,S8Mo4,MoS2,0.18877874,-1.0
147,1008170,180,S12Mo6,MoS2,0.21256483,-1.0
177,4124655,15,Mo4S8,MoS2,0.89640164,1.0
99,1536083,212,S8Mo4,MoS2,0.10011889,-1.0
115,2310070,74,S8Mo4,MoS2,0.035104454,-1.0
72,2310939,79,Mo2S4,MoS2,0.09349267,-1.0
174,9014719,166,Mo3S6,MoS2,0.6574997,1.0
87,2101560,2,S8Mo4,MoS2,0.583794,1.0
70,1539310,194,Mo2S4,MoS2,0.80044776,1.0
277,9009206,62,Mo4S8,MoS2,0.2873223,-1.0
9,1008246,198,Mo4S8,MoS2,0.40516338,-1.0
192,2106677,14,S16Mo8,MoS2,0.30049598,-1.0
